text,annotation_48,annotation_49,annotation_50,annotation_47
Postpone CBSE Board Exams,False,False,False,False
Pay rise for paramedics and nurses,False,False,False,False
Too Soon To Open Georgia!,False,False,False,False
Request to reconsider DPS Ruby Park school tuition and transport fees for COVID-19,False,False,False,False
Covid-19 Aesthetics / Salon / Massage Industry Warning & Economic Impact,False,False,False,False
Pause classes and encourage online classes to reduce the spread of Covid-19 in AMCKK,False,False,False,False
Allow Salons to Operate with New Health Guidelines,True,False,False,True
Open Letter to the AAMC Concerning the Medical School Application Cycle During COVID-19,False,False,False,False
Canadian Nurses Deserve Hazard Pay For Pandemics,True,False,False,False
Maharashtra demands Resignation from Uddhav Thackeray,False,False,False,False
BC Health | Mandatory Mask Usage Across BC Shared Public Spaces,True,True,True,True
Close Seattle Central College Campus Due to COVID-19 Death in Washington and New Cases,True,False,False,False
Rescue Australians Stranded in Peru due to Coronavirus,False,False,False,False
Improve COVID-19 Procedures In Correctional Facilities,False,False,False,False
Shut down Rosebank College,False,False,False,False
Stop Wildlife Medicine in China,False,False,False,False
Close Pace University NYC campus due to spread of COVID-19,False,False,False,False
Wearing face masks in public should be made mandatory by government to prevent COVID-19,True,True,True,True
Open Canada VACs in India,False,False,False,False
Reduction on Vehicle Insurance rate during COVID 19,False,False,False,False
Safeguard the Right of New Jersey Laboring Women to Have Support During COVID-19 Crisis,False,False,False,True
Petition for a Gradeless Semester,False,False,False,False
Davis Student Lease Cancellation and Rent Relief,False,False,False,False
Save the Hazlitt,False,False,False,False
Postpone CA exams for COVID Safety Reasons #CAExams,True,False,False,False
Humanitarian Appeal to Release Maulana Delawar Hossain Sayedee,False,False,False,False
Remove the CalTPA as a requirement for teachers in current educational programs,False,False,False,False
Extend the validity of PLABs and the English language test by the GMC,False,False,False,False
Release Safoora Zargar,False,False,False,False
Postpone 10th and 12th boards exam due to rise in Covid19 cases.,False,False,False,False
Fair rights for students during covid,False,False,False,False
Unmask Iowa's School Children,True,False,True,True
To allow Malaysians with valid work pass to travel in and out of singapore,False,False,False,False
Keep Omaha Public Schools Online Until COVID-19 Controlled,False,False,False,False
Joe Biden Must Step Down,False,False,False,False
"Central University of Lucknow is conducting exams from 16th , risking the health of studen",False,False,False,False
Financial Support for International Students in Australia facing hardships due to Covid-19,False,False,False,False
Freeze rent payments,False,False,False,False
"Animals are in pain, name groomers as an essential service in Ontario during COVID-19",False,False,False,False
2020-2021 Basketball Season,False,False,False,False
Save Schmidt,False,False,False,False
All frontline NHS staff to receive testing for COVID 19 if symptomatic.,False,False,False,False
"Hazard Pay for ""Essential"" workers",False,False,False,False
#FreeDarik,False,False,False,False
Start international flights in India,False,False,False,False
Please make masks mandatory in Georgia,True,True,True,True
Suspend Central Vista Project and Spend the Rs 200 Billion to Fight Covid-19,False,False,False,False
#LoveIsNotTourism: Petition for Binational Unmarried Couples to Reunite During Covid (US),False,False,False,False
Protect our children!!! Demand Covid release,False,False,False,False
Fight covid 19 san quentin,False,False,False,False
"Save the Coral City Camera, Don't Allow Disney Cruises to Destroy Our Urban Reef",False,False,False,False
Longer exercise hours - level 4 covid restrictions,False,False,False,False
Release Non-Violent Offenders in Prison Camps due to COVID-19,True,True,False,False
THE FATE OF AMAZONIA AND ITS GUARDIANS IS LINKED TO OURS - EUROPE MUST ACT IMMEDIATELY,False,False,False,False
Allow Reboot to open in San Francisco with COVID-19 safety precautions.,False,True,False,True
Petition to register Mesut Ozil in Arsenal's Premier League and Europa League squads,False,False,False,False
Arizona Stay At Home Orders : COVID-19,False,False,False,False
Petition: to award general promotion to students in colleges associated with BU Bhopal.,False,False,False,False
"Compassionate medical release for Previn Coleman, amid COVID 19 crisis in Elkton FCI Ohio",False,False,False,False
Guru Gobind Singh Indraprastha University FINAL YEAR EXAMS TO BE CONDUCTED ONLINE.,False,False,False,False
Let Wisconsin Golf,False,False,False,False
SAVE DEL MAR HORSEPARK,False,False,False,False
Stop MANDATORY  Covid Testing for Suffolk County Athletes,False,False,False,False
Shut down construction sites to prevent the spread of covid 19,False,False,False,False
Have the RIIL to allow Mount Saint Charles and Hendricken to play the championship games,False,False,False,False
"Transparency, Testing, and Online Instruction to Prevent a COVID-19 Outbreak at Mizzou",False,False,False,False
Lower SDSU Cost of Basic Tuition and Fees Due to COVID-19 and Transition to Online Classes,False,False,False,False
Protect Skateboard Retailers and Skateboarding As Essential Transportation During CoViD-19,False,False,False,False
Extend JobKeeper for Travel  Agency Agents and Mobile Travel Agents (Sole Traders).,False,False,False,False
The Heritage Private School: reduce payments for educational services during COVID-19,False,False,False,False
Keep Schools Closed Through COVID-19,False,False,False,False
Give Dolly Parton the Medal of Freedom,False,False,False,False
OUR LOVED ONES ARE DYING! Stop shielding nursing homes from liability!,False,False,False,False
Stop Greyhound Bus Lines from NYC,False,False,False,False
#FREE Donte Epps,False,False,False,False
COVID-19 IN Georgia's Prisons Rise,True,False,False,False
PROTECT OHIO’S FARMWORKERS FROM COVID-19,False,False,False,False
NO to the COVID-19 Public Health Response Bill,False,False,False,False
Pressure ICBC to Waive/Defer Monthly Insurance Premiums,False,False,False,False
Meralco: Bill Shock during the Covid Crisis,False,False,False,False
Stop Livermore Airport Expansion that includes new FBO & B737s. Reduce small plane noise.,False,False,False,False
Allow international students to remain in the U​.​S. to complete or continue their studies.,False,False,False,False
Minnesota Allow for the Operation of Guided Fishing and Charter Boat Captains,False,False,False,False
"Call for the resignation of Greg Glassman as CEO of CrossFit, Inc. #CancelGlassman",False,False,False,False
#SuspendOnlineClassesNOW,False,False,False,False
Lasershows statt Feuerwerke! #böllerfrei,False,False,False,False
Protect the UNT community from COVID-19 by suspending face-to-face classes and meetings.,True,False,False,False
Ban Gas-Powered  Leaf Blowers During COVID-19 Stay-At-Home Advisory in Massachusetts,False,False,False,False
"British people STILL showing support for Boris, despite the biased left media",False,False,False,False
"Separate Quarantine Wards, Med Check-ups for Women & Children in Jail",False,False,False,True
Keep Dr. Annie Bukacek on the Flathead City-County Health Board,True,False,False,False
"Stop Supporting Animal Cruelty, Tropical Smoothie Cafe!",False,False,False,False
Covid-19 Airbnb Hosts Economic Hardship,False,False,False,False
COVID-19,False,False,False,False
COVID-19 Impact: Need waiver for Small & Medium Business owners.,False,False,False,False
"Allocation of 20M to each Mp should instead go support health centers, doctors and nurses.",False,False,False,False
Abortion must be accessible for women across the EU,False,False,False,False
Conduct Final Examination for students in Online Mode to prevent risk of Covid Infection,False,False,False,False
"Request to set up a Covid 19 testing laboratory at GTA region, West Bengal.",False,False,False,False
Tamil Nadu needs to close colleges due to COVID- 19  Do You agree?,False,False,False,False
"LET'S GET HOUSE BILL 1532 PASSED, REDUCE JAIL & PRISON POPULATIONS FROM SPREADING COVID-19",False,False,False,True
Postpone/Cancel CAIE's in Pakistan May/June 2020 due to Coronavirus outbreak.,False,False,False,False
Release Currie Hall Residents from Leases Amid COVID-19 Pandemic,False,False,False,False
Allow Parents in Botswana  to Purchase Baby & Children's Essentials for the Winter,False,False,False,False
Save covid-19 old infected patients across the world,False,False,False,False
Change to Durham University Assesment in light of COVID-19 Pandemic.,False,False,False,False
Hospital visits to be permitted to critical patients who need their loved ones around them,True,False,False,False
Extend education loan grace period to support the graduates struggling to find jobs #COVID,False,False,False,False
COVID-19 Isn't Over and We Need Help: Tell the Senate to Pass the HEROES Act Immediately,False,False,False,False
Uso de mascarillas obligatorio en España para COVID-19,True,False,True,True
Hobart City Council should allow health workers to park for free during COVID-19 crisis.,False,False,False,False
Less Schoolwork during COVID-19 Quarantine,False,False,False,False
Requesting Free State Gov to provide list of companies who received Covid-19 Relief Fund,False,False,False,False
Allow Cruise Ships to come to Alaska,False,False,False,False
Doula Support in Nebraska Hospitals during COVID-19 Outbreaks,False,False,False,False
Cancellation of semester exam 2019-2020 and using our exam fees to Relief fund.,False,False,False,False
Announce holidays for teachers and non teaching staff to combat corona threat,False,False,False,False
Save Lives! Include ALL Diabetics in the COVID vaccine rollout in California,False,False,False,False
"#saveliveslivebetter-Walmart Canada, please help keep your associates and customers safer!",False,False,False,False
Summer 2020 Graduations to be POSTPONED not CANCELLED,False,False,False,False
Eviction Moratorium South Africa,False,False,False,False
Students concern related to fees submission amid this covid.,False,False,False,False
Cancel school for at least two weeks to slow down the spread of COVID-19,False,False,False,False
Protect Inmates And Correctional Facility Staff Against Covid,True,False,False,False
A green recovery from COVID-19 in Northern Ireland,False,False,False,False
Expansion of covid related subsidies to new businesses,False,False,False,False
Demand Science-Based School Reopening Criteria in AZ!,False,False,False,True
Stop all air travel to Ireland from covid hotspots in the US,False,False,False,False
新型コロナウイルス感染拡大に伴う差別行為＝「コロナ差別」に際して日本政府に対策を求めます ー #差別を許さない,False,False,False,False
"Cancel International A Level & IGCSE Exams 2021
(CIE & Edexcel)",False,False,False,False
La entrada de las Doulas al proceso de parto junto al acompañante de la paciente.,False,False,False,True
Shut Down Leeds Arts University for COVID-19,False,False,False,False
STOP THE COVID-19 VACCINATION CAMPAIGN,False,False,False,False
Pass all the CFISD students for the spring semester,False,False,False,False
Close All Educational Institutions for Teachers and Other Staff #KeepTeachersSafe,False,False,False,False
Alberni Grocers: Seniors-Only Hour Will Save Lives,False,False,False,True
Lower USask Tuition Rates for 2020/21,False,False,False,False
OFW DOLE Akap must be available to all OFW Landbased and Seabased.,False,False,False,False
Rakyat Dan LPP-TIPIKOR RI Mendesak Pemerintah RI Lakukan Kesepakatan Dengan UN-SWISSINDO,False,False,False,False
Make Insurance Companies Grant Full Benefit Access During Covid,False,False,False,False
�Act Now: Temp Las Vegas Rent Freeze,False,False,False,False
Suffolk County Executive Steve Bellone and Dr. Pigott (Suffolk DOH): Let ALL Sports Play!,False,False,False,False
Divert military spending to global covid relief!,False,False,False,False
Petition to Congress to Provide Economic Relief to Independent Physicians and Practices,False,False,False,False
Closing of school during lockdown,False,False,False,False
COVID support for those who went self-employed in last year,False,False,False,False
CLOSE ALL CAMPUS of University of Toronto to prevent COVID-19 Outbreak,False,False,False,False
Demand UMD Prioritize Students over Profit in Changing COVID-19 Response Policies,True,False,False,False
Make COVID Data Transparent at NC State,False,False,False,False
Appeal to the UN to prevent imminent starvation and a humanitarian crisis in Eritrea,False,False,False,False
Stop the COVID-19 Madness!,False,False,False,False
Change High School Hockey in New Jersey To a Spring Sport,False,False,False,False
"Prisoners sentence to be reduced due to Covid 19 , full lockdown and  no visits .",False,False,False,False
Postpone UCLA's 2020 Commencement Instead of Cancelling,False,False,False,False
"Keep YOUR Allied HEALTH Practitioners OPEN!  
Ease the burden OUR medical system may face.",False,False,False,False
7-POINT PUBLIC HEALTH DEMANDS: COVID-19  ACTION STEPS,False,False,False,True
Extend the Government's Paid Parental Leave to pregnant women during the COVID-19 crisis,False,False,False,False
Save California Seniors from a Death Sentence,False,False,False,False
"Visayan Electric Co. (VECO), ECQ Overbilling REFUND Now!",False,False,False,False
Stop mandatory COVID 19 testing for admission for pregnant women,False,False,False,False
Tests massifs du Covid-19 par PCR et traitement hydroxychloroquine et azithromycine !,False,False,False,False
No school or ECE during Alert level 3.,False,False,False,True
Ban - Free or Complimentary breakfast & happy hours Nationwide,False,False,False,False
Cancellation of Semester End Examination,False,False,False,False
Death of NM Small Business,False,False,False,False
Extend Free School Meals Into The Summer Holidays,False,False,False,False
COVID-19: Award Predicted Grades to A-Level Students (Including Pre-U and IB),False,False,False,False
Make Colorado Public Schools Remote This Fall,False,False,False,False
Covid-19: Governor Reynolds please close the IA Schools for the rest of the school year.,False,False,False,False
"Suspend ALL rent, mortgage, and utility payments during the COVID-19 pandemic",False,False,False,False
Allow federal inmates in the bureau of prisons access to tablets during Covid-19 pandemic!,False,False,False,False
Declare the Road Accident Fund an Essential Service,False,False,False,False
"Urban Outfitters, JCPenney, C&A #PayUp for orders, save lives",False,False,False,False
"Let's save the life of Shani Abeysekera, the greatest detective of Sri Lanka",False,False,False,False
Crisis Pay: Give Frontline Healthcare Workers The Pay They Deserve,False,False,False,False
"Designate Occupational, Physical Therapists and Speech Language Pathologists as frontline",False,False,False,False
Keep the Americans from making a movie about how well they handled Covid - 19,True,False,False,False
Covid-19: Urgent action plan for the Labour movement!,False,False,False,False
Osteopathic Manual Practitioners in Ontario Should Be Considered an Essential Service!,False,False,False,False
Stop World Travel and call it finally a pandemic!,False,False,False,False
State of Hawaii to freeze rent and mortgage payments during COVID-19 pandemic.,False,False,False,False
NHS COVID Medal,False,False,False,False
"""Withdraw EIA 2020 Draft""",False,False,False,False
Hazard Compensation for Shipyard Employees during Covid-19 Pandemic,False,False,False,False
Hair Salons Are An Inevitable Business - Make Us Essential!,False,False,False,False
#карантинвбеларусь,False,False,False,False
UPenn petition to reduce/forgive/rebate spring 2020 tuition due to COVID-19,False,False,False,False
"Initiative to combat ""COVID 19"" through Public Awareness",False,False,False,True
Ripartire dopo il COVID-19: Legalizzare la Cannabis per il futuro dell'Italia,False,False,False,False
The University of Alberta shouldn't charge full tuition for online classes!,False,False,False,False
Call for Action: Defund the Winnipeg Police Service,False,False,False,False
Reinstate NCLEX Testing,False,False,False,False
STOP hydropower project in Arunachal’s bio-diverse Dibang Valley,False,False,False,False
Petition for Pass/Fail Option in Spring 2020 Courses at UTEP,False,False,False,False
¡Urgente!,False,False,False,False
COVID,False,False,False,False
Cancellation of Semester End Exams (Goa University),False,False,False,False
Release of non violent prisoners to prevent a dangerous COVID-19 outbreak in prison,True,True,False,True
"Suspension of Rent, Mortgage, & Utility Payments During the Coronavirus Pandemic",False,False,False,False
Optional Pass/Fail for UIUC,False,False,False,False
Open up Outdoor Dining,False,False,False,False
Colorado COVID-19 Housing Relief,False,False,False,False
Muhyiddin Please Resign / Muhyddin Letak Jawatan,False,False,False,False
Keep Davis School District students safe by keeping hybrid schedule.,False,False,False,False
HELP TO SHARE! UTM should conduct classes fully online! - Covid-19,False,False,False,False
Massive COVID-19 testing now!,False,False,False,False
COVID-19 ERADICATION in Australia,True,False,False,True
COVID-19 closing Casinos to contain virus,False,False,False,False
Allow Frontline Healthcare workers to keep their children.,True,False,False,False
Make it easier for families to close the accounts of a loved one who dies,True,False,False,False
"COVID-19 MAY GET ERADICATED, BUT NOT OUR UNIVERSITIES ATROCITY",False,False,False,False
ALDI USA: make COVID-19 raises permanent!,False,False,False,False
Stop Murrayfield Ice rink from closing it’s doors for good,False,False,False,False
COVID related travel restrictions in Canada,False,False,False,False
Include Sports Academies in Covid-19 Relief Fund. SAVE them from shutting down,False,False,False,False
Milwaukee should require masks in public places to protect residents,True,True,True,True
Navajo President Nez: Immediately Allow Diné Relief Efforts During COVID-19 Curfews,False,False,False,False
FIGHT POVERTY BY SUPPORTING DISTRIBUTED RESERVED CRYPTOCURRENCY IN NIGERIA.,False,False,False,False
Cancel 2021 GCSE & A-Level Exams,False,False,False,True
Rehabilitation of those affected severely by Amphan,False,False,False,False
Make Selling dogs illegal unless you are a licensed and accredited breeder,False,False,False,False
"Tell Governor Kemp: Shut down Georgia TODAY, Save Lives",False,False,False,False
Lorenzo (USC Off-Campus Student Housing) Rent Waived/Reduced due to COVID-19,False,False,False,False
Canadians Demand Interest and Debt Relief from Banks During COVID-19,False,False,False,False
Stop treatment of covid-19 patients in Wolfson Cystic Fibrosis unit,False,False,False,True
Freeze Law Society of Ontario & LAWPRO Fees due to COVID-19,False,False,False,False
Protect UNM Graduate Students amid COVID-19,False,False,False,False
"Mandatory Medical Cover, Safety Gear and Job Security For Journalists",False,False,False,True
REQUEST FOR SCHOOL CLOSURE DUE TO HIGH RISK OF COVID 19,True,False,False,False
Close Pinkerton Due To Covid-19,False,False,False,False
Запрет на перекладку плитки в 2020 году в г. Москве,False,False,False,False
North Carolina COVID-19 Housing Relief,False,False,False,False
CU Denver switching to Pass/Fail Grading in response to COVID 19,False,False,False,False
CLOSE Seattle University campus due to COVID-19 death and new cases,False,False,False,False
Cover COVID-19 treatment in #Aarogyasri Scheme,False,False,False,False
"Governor Gretchen Whitmer: Suspend Rent, Mortgage, & Utility Payments During Pandemic",False,False,False,False
Tell Solano Co. to keep community safe during COVID & send staff home for Teleworking,False,False,False,False
"équipements de protection individuelle minimale, frottis et responsabilité pour lutter!",False,False,False,True
Stop EMI Payments During Crisis,False,False,False,False
Grant work from home to IT employees around India,False,False,False,False
Open Adult Slowpitch Softball in California,False,False,False,False
Delay or start school in stages,False,False,False,False
Save Knaresborough Arts and Crafts centre,False,False,False,False
Covid-19 protection for police officers,True,True,False,True
Make the Government fund PPE for Pharmacies,False,False,False,True
MAKE GYMS ESSENTIAL,False,False,False,False
SAVE our Hokitika SPCA animal shelter from closure,False,False,False,False
Allow dog walking during SA lockdown,False,False,False,False
Release imprisoned journalists worldwide,False,False,False,False
Save Grandma from COVID,False,False,False,False
Illinois Schools Should Void 4th Quarter Grading and Pass All 2019/2020 Classes,False,False,False,False
Help Sac Library Staff Get Paid During Covid-19 Closures,False,False,False,False
Partial fee refund due to Universities closure in the midst of COVID-19 outbreak,False,False,False,False
We want the Ministry of Education to re-consider the decision for school reopening,False,False,False,False
"Justice For Mehali Pastrikos, Wade Williams & Miguel Pechay! Sentence Appeal! TF Inquest!",False,False,False,False
Government Support for NW Ontario Tourism #savesunsetcountrytourism Before It's Too Late,False,False,False,False
Protect Mirrlee's fields from a potential building development of  200 houses.,False,False,False,False
Reschedule NCAA Wrestling Tournament,False,False,False,False
"Reclassification of Micro Gyms, Pilates, and Yoga Studios in St Louis",False,False,False,False
Tax free earnings for all healthcare workers during Covid-19 crisis,False,False,False,False
UAL: Save Our Degree Show!,False,False,False,False
Change the theme of Splash Mountain ride in Disney Parks,False,False,False,False
Hair Salons to open in Marion County (Indiana) following social distancing rules,True,True,True,True
BPS  Covid Safety Metrics,False,False,False,False
Save South Norwood Library,False,False,False,False
Return high school sports to Ohio,False,False,False,False
Open Capitation Model Funding (FHO) to All Family Physicians in Ontario Urgently!,False,False,False,False
Petition to extend mid-semester break of NITJ in light of the COVID-19 outbreak,False,False,False,False
Закрыть высшие учебные заведения Москвы на карантин в связи с пандемией коронавируса,False,False,False,False
Open our Garden Centres,True,False,False,False
COVID 19 Beauty Industry Economical Impact - Canada,False,False,False,False
Covid Death Relief Fund,False,False,False,False
"Close all Australian schools, decrease the risk of COVID-19",False,False,False,False
Withdraw the freeze in hike of dearness allowance of central govt employees and pensioners,False,False,False,False
We need a Break from online classes and exams!,False,False,False,False
Covid-19 Economic Relief for Property Owners,False,False,False,False
Petition for Online Teaching in Nottingham Trent University under COVID-19 Threat,False,False,False,False
"""No detriment"" Policy for UCD",False,False,False,False
Salviamo la Repubblica dell’Arte di Frigolandia dall’assurda minaccia di sgombero,False,False,False,False
Annastacia Palaszczuk & Jeanette Young to make a national apology to Nathan Turner family,False,False,False,False
CHANGE THE AMBULANCE SERVICE STATUS FROM ESSENTIAL TO EMERGENCY AFTER COVID-19,False,False,False,False
Fair treatment for easyJet staff,False,False,False,False
Trump must resign for admitting to downplaying COVID-19,False,False,False,False
The New School: Aid Students with a Partial Tuition and Housing Refund,False,False,False,False
Release or Home Confinement for Federal Prisoners from COVID-19 Coronavirus,False,True,False,True
COVID-19 : Non à la fermeture du Parc Oméga !,False,False,False,False
Close School I dont want covid 19,False,False,False,False
Close USF campus due to the COVID-19 (coronavirus),False,False,False,False
Stop Missouri's DESE From Spending CARES Act Funding on a Standardized Test,False,False,False,False
Petition to ask Philippines Senator Koko Pimentel to resign.,False,False,False,False
Close Douglas County Schools due to COVID-19,False,False,False,False
Close South Coast Plaza Mall - Stop Covid-19,False,False,False,False
Request To Make NOVA Spring 2020 Classes Pass/Fail An Option Due to COVID-19,False,False,False,False
"Diabetes to be added in Clinically Extreme Vulnerable ""Shielding"" list for COVID 19",False,False,False,True
"Protect Haida Gwaii, and North and Central Coasts - Restrict Non-Essential Travel Now",False,False,False,False
Free and voluntary COVID-19 testing for front-line Nurses in Ghana once every week.,False,False,False,False
Open House Ban During Covid-19,False,False,False,False
URGENT: PROTECT OKLAHOMA'S INMATES FROM COVID-19 BY REDUCING OVERCROWDING,False,True,True,True
ALL colleges TEST OPTIONAL for Fall 2020 applications amid COVID-19 pandemic,False,False,False,False
Postpone UPSC CSE Prelims 2020 to August '20 amidst COVID 19 pandemic,True,False,False,False
