text,annotation_96,annotation_53,annotation_93,annotation_94,annotation_95
Language Education in the Time of COVID-19,,,,,
COVID-19 Test Kits,,,,,
COVID 19 IN PRISON,,,,,
Get Waled Home,,,,,
Make pass/fail available for Mississippi State Students for the 2020-2021 academic year.,,,,,
Governor Doug Burgum to Issue Mandatory Shelter-in-Place Order,,,lockdowns,,
Early release due to covid 19,,,,,
Medical professionals need protection and gear to fight Covid 19 !,,,"vaccination,masking and distancing",,
"Save Gilroy Recreation - Theater, Aquatics, Preschool, etc.",,,,,
Class of 2020 to get their certification,,,,,
Calling for Disability- Inclusive Response to Covid-19 Pandemic in the Philippines,,,,,
Open the 2020-2021 School Year Traditionally in Shasta County,lockdowns,,,,
Save the Enhanced Nursery School Operating Grant!! Say NO to Proposed Amendment to Regs!,,,,,
Cancel the STAAR test for the 2020/2021 school year,,,,lockdowns,
Justice For Dr. Susan Moore,,,,,
Extend Winter Break for Brock Students,,,,,
Get American crew members home!,,,,,
RAISE PSW WAGES TO $25​.​00/HOUR,,,,,
COVID-19  Dance Studio Industry Economic Hardship,,,,,
Support More Testing for Covid,vaccination,,,,
UBC Partial Tuition Refund,,,,,
Close China’s wet market permanently,lockdowns,,,,
#SaveOurYouth,,,,,
Tuition Adjustments Due to COVID-19,,,,lockdowns,
Ensure Education. STOP HIKE in School Fee for 2020-2021 #COVID-19,,,,,
Cancel 10th Gujarat Board Exams,lockdowns,lockdowns,,lockdowns,lockdowns
Cancellation of all University assignments and exams due to instability caused by COVID-19,,,"masking and distancing,lockdowns",lockdowns,lockdowns
NEU- CLOSE CAMPUS AND START ONLINE TEACHING,lockdowns,,"masking and distancing,lockdowns",lockdowns,
NOW reinstate all facial treatments from behind and to the side of the face.,,,,,
Equestrian Riding relief,,,,,
UWC must call off university!,lockdowns,,,lockdowns,
Cancel Okanagan college  Classes due to COVID-19,lockdowns,,"masking and distancing,lockdowns",lockdowns,lockdowns
Request To Have the Option to Make WFU Spring 2020 Classes Pass/Fail Due to COVID-19,,,,lockdowns,lockdowns
Stop tourism to the Isle of Wight during the Covid 19 outbreak,lockdowns,,"masking and distancing,lockdowns",lockdowns,lockdowns
No profit on Covid-19!,,,,,
Cancel rent payments for international students during Covid 19,,,,,
Tuition and Fee Refund for Campus Services Not Provided Due to COVID-19,,,,,
SE PODRÍAN HABER EVITADO LAS MUERTES POR COVID-19 EN TODO EL MUNDO,,,,,
Make Regis University close its doors now.,lockdowns,,,lockdowns,
Post Natal Massage Service as Essential Services,,vaccination,,,lockdowns
Cancellation of RTU Final Semester Examination,,,,lockdowns,lockdowns
HPU MUST Allow Housing/Dining Refunds if COVID-19 Impacts Fall 2020 Semester,,,,,
"20 per studio classroom, rather than 20 per premises - if deemed safe.",masking and distancing,,,masking and distancing,
VicRoads refund rego and TAC charged during covid restrictions.,,,"masking and distancing,lockdowns",,
"Grant emergency Bond due to the global pandemic of COVID-19, for Qamar Williams / Q money",,,,,
Create a Covid-19 relief package for informal waste pickers of Delhi,,,,,
Take proactive action to mitigate COVID19 in Ethiopia,,,,,
Stellenbosch University to Implement Online Examinations,lockdowns,,"masking and distancing,lockdowns",lockdowns,lockdowns
No Schools Till Corona Ends...,lockdowns,,"masking and distancing,lockdowns",lockdowns,lockdowns
Recreation Boating During Stay At Home,lockdowns,,lockdowns,,
Chancellor Carranza - Don't Take Counselors Away From Students in the South Bronx,,,,,
UK Legalisation & Taxation of Recreational Cannabis to help fund COVID-19 aftermath,,,,,
COVID-19 - Free streaming services for quarantine,,,,masking and distancing,
Help stop the deportation of the Ferreira family during a global pandemic.,,,,,
Make masks mandatory for public settings in the Region of Waterloo.,masking and distancing,,masking and distancing,masking and distancing,masking and distancing
Pay Health Care Students On Placement,,,,,
Support private nurseries through Covid-19,,,,,
cancel school due to the water boil order and COVID 19,lockdowns,,,lockdowns,lockdowns
A Twin Crisis- Gentrification & Covid Destroying Black Business In Harlem,,,,,
Extend the Winter Break at UFV,,,,,
TAX RELIEF FOR NEW JERSEY RESTAURANTS & SMALL BUSINESSES FROM SHUTDOWN DURING COVID-19,lockdowns,,lockdowns,lockdowns,
Orange County Schools Must Follow CA State Guidelines For Re-Opening,,,"masking and distancing,lockdowns",lockdowns,
Cuomo and de Blasio Must Close all school buildings in NYC NOW!,lockdowns,,lockdowns,lockdowns,lockdowns
Why final year exams shoudn't be Conducted #promote final year students,,,,lockdowns,
Offer Unconditional Citizenship to ALL non-British NHS Workers,,,,,
We Must Ensure The Safety of Our Children,,,,,
Riconosciamo alla Scuola il suo ruolo di tutela della Salute biopsicosociale,,,,,
Yarra Valley should be classified as rural for Covid-19 restrictions purposes,lockdowns,lockdowns,,,lockdowns
Suspend Rent & Mortgage in Connecticut during COVID-19,,,,,
NYC TRANSIT WORKERS DESERVE HAZARD PAY,,,,,
Covid-19 Safety for Dental Practitioners and Patients in Colorado,,,,,
Call for Peter Weir to resign,,,,,
Temporarily Force Close Restaurants in the U​.​S to stop the spread of Covid-19,lockdowns,lockdowns,,lockdowns,lockdowns
Covid-19 Pandemic Unemployment Payment for Cross Border Workers,,,,,
Seek Justice for Brutal Massacre of 5 Afro-Colombian Teenagers,,,,,
Ban the Use of Tear Gas on Peaceful Civilians & Protestors,,,,,
COVID-19 : Guarantee people's heat and power,,,,,
Create a COVID-19 testing spot on South Campus,vaccination,,,,
Protest Against Covid Return Travellers at Tamworth NSW Australia,,,"masking and distancing,lockdowns",,
Close Humber College (COVID-19 / Coronavirus),lockdowns,,"masking and distancing,lockdowns",lockdowns,lockdowns
"The IRS Is Holding Thousands Of Falsely Flagged Tax Refunds, During Covid-19 Crisis!!!",,,,,
Henry County Shelter in Place for Covid-19,,,lockdowns,,
Schools to charge only 50% and No fees for lockdown period. Also No Vaccine No School.,"vaccination,lockdowns",,"vaccination,lockdowns","vaccination,lockdowns",
Boots to send all non essential staff home amid Covid-19 safety measures,,,"masking and distancing,lockdowns",,
Reduce UCI Student Fees During Remote Instruction,lockdowns,,,,
Government packages and assistance for Music Fraternity in COVID 19 PANDEMIC.,,,,,
Relief Funds for Freelance + Contracted Workers,,,,lockdowns,
Small Business COVID-19 Support,,,,,
UW Admin create a one-credit class so international students can stay in the US,,,,,
Distinction des cas de Covid-19 entre la Gaspésie et les Iles-de-la-Madeleine,,,,,
Aprite le palestre di arrampicata,,,,,
Stop TFL from removing free travel for under-18s,,,,,
Reduce Canadian Deaths from Covid-19 and Support Canada with Social Distancing and Testing,"vaccination,masking and distancing",,"masking and distancing,lockdowns",masking and distancing,masking and distancing
誰ひとり取り残さない。新型コロナウイルスの影響に伴う収入減少に対し、この国に生きる全ての人に所得補償を!,,,,,
Partial refund for 2nd semester fees from Kuwait private schools due to COVID19 closure,lockdowns,,lockdowns,lockdowns,lockdowns
Postpone Class of 2020 CBE Graduation Ceremonies,,,,,
Tell Doug Ford Critical care is not Elective care. Help our daughter to  get her surgery!,,,,,
COVID-19 outbreak in Clinton County Detention Center,,,,,
DEMAND NCSU to release a statement and action plan to support their international students,,,,,
Resignation of Tedros Adhanom Ghebreyesus - The WHO Director General,,,,,
Justin Trudeau: Do Not Test COVID immunizations on Indigenous Canadians!,vaccination,,vaccination,,
Set up makeshift crematoriums and designate more burial grounds for COVID victims’ dignity,,,,,
Revoke retroactive fees,,,,,
"Allow students to alter, delay or annul their tenancy agreements because of COVID-19",,,lockdowns,masking and distancing,
Release Grace from Groves HS from Jail,,,,,
We Want Justice! We Want Peace!,,,,,
"Defy COVID 19: save zoo, stables, farm & stray animal war-refugees in Yemen",,,"masking and distancing,lockdowns",,
Close school campuses in Fremont Unified School District to avoid spreading COVID-19,lockdowns,,lockdowns,"masking and distancing,lockdowns",lockdowns
Re-classify Fitness Centers as an Essential Business,lockdowns,,,,
"After serving 25 years , I can die from Covid-19, because I am still incarcerated.",,,"masking and distancing,lockdowns",,
Request To Make GMU Fall 2020 Classes Pass/Fail An Option Due to COVID-19,,,,lockdowns,
CT Students Go Back To School Without Masks or Social Distancing,masking and distancing,,"masking and distancing,lockdowns",,masking and distancing
Allow individual water sport participants in South Africa to access the ocean.,,,,,
Cut Carbon Emissions by 50% in 2030 and Reach ZERO emissions by 2050!,,,,,
Demand CA EDD accountability for Unpaid unemployment claims due to Covid 19 measures.,,,,lockdowns,
Suspend in-person instruction at UC Merced to prevent exposure to COVID-19,lockdowns,,"masking and distancing,lockdowns",masking and distancing,"masking and distancing,lockdowns"
نطالب وزارة الاتصالات اللبنانية بزيادة سعة الإنترنت وسرعته وتخفيض الأسعار خلال أزمة كورونا,,,,,
Modify SIT's Exam and Grading Policy due to COVID-19,,,,lockdowns,lockdowns
CLOSE DOWN ALL EDUCATIONAL INSTITUTIONS!,lockdowns,,lockdowns,lockdowns,
Request CWU To Make Online Classes/Finals Available Due to COVID-19 Deaths In WA State,lockdowns,,"masking and distancing,lockdowns",lockdowns,lockdowns
Ensure health workers have enough PPE during Covid-19 to remain safe,masking and distancing,,masking and distancing,,
ECFMG Certification during COVID 19 Crisis,,,,,
Help for Special Needs Family during COVID,,,,,
Demand Louisiana Gov. Edwards take action to reduce the prison population during Covid-19,,,masking and distancing,masking and distancing,
Demand SF City Gov’t Responds To Homeless and Crime CRISIS,,,,,
Stop ICE from sending international students out of the country!,,,,,
Restore Youth Hockey,,,,,
The Ghanaian-Canadian Association of Ontario needs your support!,,,,,
Shut down FISD schools to prevent COVID-19 spreading,lockdowns,,lockdowns,lockdowns,lockdowns
Hazard pay for X-ray tech at St Mary’s Hospital,,,,,
Declarar pandemia por parte de la OMS | Make official WHO pandemic status - Covid-19,,,,,
UVM students demand partial tuition and housing reimbursement,,,,,
Kids First! Let NM kids practice outdoors sports!,lockdowns,,,,
Forgive Student Loans for Nurses working during COVID-19,,,,,
WITHDRAW EIA DRAFT 2020,,,,,
#COVID19 CHIEDIAMO CHE TUTTI RESPONSABILI SIANO GIUDICATI DA CORTE INTERNAZIONALE PENALE,,,,,
Nintendo should release Animal Crossing: New Horizons early due to the coronavirus,,,,,
COVID-19 Remembrance and Lessons Learned/COVID-19 Commémoration et Leçons Apprises,,,"masking and distancing,lockdowns",,
Close all daycares in British Columbia to stop the spread of COVID-19,lockdowns,,lockdowns,"masking and distancing,lockdowns",lockdowns
Close UBC Campus to Prevent the Outbreak of COVID-19,lockdowns,,lockdowns,"masking and distancing,lockdowns",lockdowns
Recruitment of Public health officers and public technicians for UHC and prevent COVID 19,,,,,
Federal Student Loan Forgiveness for All,,,,,
Free Ashley Diamond,,,,,
Resignation of Jay Baker,,,,,
Wake up Bihar ( COVID - 19),,,,,
Demand NBC pull Trump Town Hall 10/15,,,,,
Pennsylvania Schools to Void 3/4th Quarter Grading and Allow All Student to Pass 2019/2020,,,"masking and distancing,lockdowns",,
Revise Francis Parker School's Covid-19 Teacher Policies,,,,,
Shut Down Illinois Due to the Public Health Threat of Covid-19,lockdowns,,lockdowns,lockdowns,lockdowns
Cancellation of medical exams covid-19,,,,lockdowns,lockdowns
#ShutDownMASS to minimize the spread of coronavirus,lockdowns,,"masking and distancing,lockdowns",lockdowns,lockdowns
The University of Michigan community needs a better testing plan,,,,,
Hold Trump Accountable For Misleading Of Covid-19,,,,,
Keep Austin Building Safely During Covid-19 Shelter In Place Order,,,lockdowns,,
Insurance Companies deny therapy to children for PT/OT/ST during global COVID-19 pandemic.,,,,,
Recognize and Demarcate Orthodontic Procedures Separately from Other Dental Procedures,,,,,
Close BC Schools to slow the spread of COVID-19,lockdowns,,"masking and distancing,lockdowns","masking and distancing,lockdowns",lockdowns
Postpone/Cancel the AP Inter-board exams.,,,,lockdowns,
Save EasyJet jobs.,,,,,
Poor street dog raped by strangers during Covid -19 Lockdown,lockdowns,,lockdowns,,
Save Manchester's historic Belle Vue Stadium,,,,,
Fermiamo il calcio! [ITA-ENG] ~Covid-19,,,,"masking and distancing,lockdowns",lockdowns
Expand Screening to Stop Covid-19 from Becoming an Epidemic,,,,,
Teachers For Good Trouble - Stop Standardized Testing During COVID-19 Pandemic,vaccination,masking and distancing,,lockdowns,lockdowns
Stop pig slaughterhouse at Ballymoney NI; save pigs and local community from proposed hell,,,,,
Help the 99% Recover from COVID-19 Crisis,,,,,
"Coordinación supranacional ante el COVID-19
Supranational coordination against COVID-19",,,,,
Suspend Rent and Mortgage payments in California during COVID-19,,,lockdowns,,
Postponement and/or cancellation of all examinations in light of the COVID-19 Pandemic.,,,"masking and distancing,lockdowns",lockdowns,lockdowns
Engage for a better world after COVID-19 (#Engage4Better),,,,,vaccination
Release low risk delaware prisoners due to covid-19 outbreak,,,masking and distancing,masking and distancing,
"Artists, Creators, Tattooists, Musicians and Sole Traders need your help!",,,,,
Halt the planned cuts to West Sussex Children and Family Centres,,,,,
Revoke CEWS funding from anti-choice and hate groups,,,,,
2020 Graduation after COVID-19,,,,,
Petition for a public enquiry into unlawful Dáil procedure regarding covid 19 legislation.,,,,,
Please change BC COVID 19 testing measures ASAP,,,,,
Government of British Columbia: Do not single out hairstylists in phase two.*,lockdowns,,,,
No school for all Allen ISD during the Coronavirus (COVID-19) Outbreak,lockdowns,,"masking and distancing,lockdowns",lockdowns,lockdowns
Exempt the non-EU students from paying the tuition fee of SS due to the Covid - 19 crisis.,,,,,
40% to 50% REDUCTION IN TUTION FEES,,,,,
BCIT STUDENT’S REFUND DUE THE COVID-19,,,,,
Appeal for Urgent Action on the Attacks Against the CPA and its Leaders,,,,,
#saveProjectSPELL,,,,,
Abolish quarantine rule to enter Sarawak #malaysiaformalaysians,lockdowns,,"masking and distancing,lockdowns",,masking and distancing
SUPPORT CARE HOMES DURING COVID-19 & AFTER,,,,,
Exclude kids from the ‘rule of 6’ law in England.,masking and distancing,,,,
#NUStopOnlineClassesNow #WalangIwananNationalian,lockdowns,,,lockdowns,
Hazard Pay for Lassens employees during COVID-19 Outbreak,,,,,
Tell Emory University to stop torturing nonhuman primates!,,,,,
Let foreign doctors help us fight COVID-19!,,,,,
Allow Parents the option to keep children off school during covid 19 crisis,lockdowns,,"masking and distancing,lockdowns","masking and distancing,lockdowns",
CANCEL ICSE BOARD EXAMS 2021 DUE TO COVID-19,,,"masking and distancing,lockdowns",lockdowns,lockdowns
MAKAUT need to close WB colleges due to effect of COVID-19.,lockdowns,,lockdowns,lockdowns,lockdowns
UNISA STUDENTS DEMANDING THE REMOVAL OF THE LAST MINUTE IMPLEMENTATION OF THE IRIS SYSTEM!,,,,,
"Change Diet, Save Lives",,,,,
Urgent Government Support For The Hospitality Industry,,,,,
"支持將「中華航空」正名為「台灣航空」Call for Petition of Rectifying “China Airlines” with “Taiwan Airlines""",,,,,
Hazard Compensation For Covid-19 Pandemic,,,,,
Urgent Strict Measures to Counter Coronavirus Spread and Increase Public Education,,,"masking and distancing,lockdowns","vaccination,masking and distancing",
Google: Include the entire Caribbean in YouTube's Partner Program,,,,,
Testing for COVID 19 in NHS medical professionals showing signs and symptoms,,,,,
Close the CUNY Hunter College campus due the spread of COVID-19,lockdowns,,"masking and distancing,lockdowns",lockdowns,lockdowns
Allow Visitors for MA Patients During Covid-19,lockdowns,,,,
S​.​E​.​N Schools to shut in the UK amid Covid 19 outbreak,lockdowns,,"masking and distancing,lockdowns",lockdowns,lockdowns
"For Immediate Resignations: Michael Rembis, Debbie Walsh, Gary Kienbaum and Lisa Paulson.",,,,,
Start Community Testing: COVID-19 NEPAL,,,,,
Make sure all staff in hospital have face masks,masking and distancing,,masking and distancing,masking and distancing,masking and distancing
Grant Diploma Privilege for 2020 Texas Law School Graduates,,,,,
Mental Health Stability Amongst Student Body,,,,,
PROTECT INCARCERATED COMMUNITIES FROM COVID-19,masking and distancing,lockdowns,,,vaccination
Keep COVID-19 Arrestees Out of Waiʻanae,,,masking and distancing,,
HAZARD PAY FOR TRANSIT WORKERS,,,,,
An Immediate Decrease in UArts Tuition for 2020-2021,,,,,
Implement COVID-19 Precautionary Measures,,,"masking and distancing,lockdowns",masking and distancing,masking and distancing
Close the PA border to people who live out of state.,,,lockdowns,"masking and distancing,lockdowns",lockdowns
#JusticeforShoni: fix Thembisa Hospital and save lives,,,,,
Immediate Aid Package for San Francisco SMBs (Small and Medium Businesses),,,,,
"Under attack at NYU, Mark Crispin Miller needs your support for academic freedom",,,,,
Allow PAYE freelancers to receive the UK government's COVID-19 self employed grant,,,,,
AN ACCESSIBLE WASHROOM for DISABLED FANS--Toronto Maple Leafs and Raptors,,,,,
Release community custody inmates with 6 months or less on supervision due to COVID-19,,lockdowns,,masking and distancing,
Support UNPAID Student Nurses helping to fight Covid-19 Pandemic,,,,,
Refund UIC Students for Tuition Costs,,,,,
Close Pratt Institute-Main Campus due to COVID-19 Death in NYC,lockdowns,,lockdowns,lockdowns,lockdowns
Kitas & Schulen verlässlich öffnen: Bundesweite Bildungs- & Betreuungsgarantie 2021,,,,,lockdowns
Exception for Drive-In Movie Theatres during Covid-19 restrictions.,,,"masking and distancing,lockdowns","masking and distancing,lockdowns",lockdowns
Il vaccino antinfluenzale ha aumentato i rischi da COVID-19?,,,,,
Save Rose of Sharon Korean LTC from for-profit Rykka,,,,,
CAIE should allow Students of Pakistan for Teacher Assessemnt like UK for O/A Level 2021,,,,,
Lower University of New Mexico Fall 2020 Tuition,,,,,
Demanding a Student-Centered Response from SUA to the COVID-19 Epidemic,,,,,
Citizens should be allowed to leave Australia without requiring permission.,,,,,
Grant of RESIDENCE AMNESTY FOR ALL MIGRANT WORKERS CURRENTLY IN NZ.,,,,,
Private daycare/schools to credit/refund parents for service not rendered due to covid-19,,,"masking and distancing,lockdowns",,
Separate Muskoka From Simcoe For Covid Response Regions,,,,,
Minimum 3​.​1% Pay Rise to NHS workers.,,,,,
Equal Government Support for Newly Self Employed - Covid 19,,,,,
Allow a nominated family member to enter care homes during a lockdown the same as staff do,lockdowns,,"masking and distancing,lockdowns",,
Retain contract pharmacists in Ministry of Health (MOH)!,,,,,
Bengaluru Green Cover reduced from 70% to 3%.   SAVE Bengaluru's TREES!   STOP ECOCIDE!,,,,,
"Dear PIAA, Please Do Not Terminate Our Sports Seasons!",lockdowns,,,,
Expand Unemployment Insurance Eligibility for Education Support Professionals,,,,,
To include Traditional and Complementary Medicine (T&CM) as essential service,,,,,
Reduce the cost of paying for online education in Cyprus (during the COVID-19 quarantine),,,"masking and distancing,lockdowns",lockdowns,
WIRED not Wireless; NO HOTSPOTS or Antennas added to CA Schools during COVID-19,,,,,
"Governor Greg Abbott: Suspend Rent, Mortgage, & Utility Payments During Covid-19 crisis",,,"masking and distancing,lockdowns",,
Open Rhode Island & End All Executive Orders May 9th.,lockdowns,,,,
Postpone Oklahoma State University Spring 2020 Commencement,,,"masking and distancing,lockdowns",lockdowns,lockdowns
"Save Our Studios.
Reclassify dance studios in the California Covid re-opening strategy.",,,lockdowns,lockdowns,
RRISD Students Request Covid Safe Traditional Graduation Ceremony,,,"masking and distancing,lockdowns",masking and distancing,masking and distancing
Suspend rent and mortgage payments during Covid 19 pandemic South Africa,,,"masking and distancing,lockdowns",,
Locals Only Recreation Initiative for Placer and Nevada Counties,,,,,
Directors to be equally helped Just as self employed have been.,,,,,
Allow Nursing Students to graduate despite clinical hours,,,,,
Pass the bill to prohibit child marriage in the Philippines. #ENDChildMarriage,,,,,
Petition for MIT Administration to Take Action against On-Campus Spread of COVID-19,,,,masking and distancing,lockdowns
Change the inhuman Care Home Covid visiting restrictions,lockdowns,,"masking and distancing,lockdowns",masking and distancing,
Support Cheerleaders and Dance in 2021,,,,,
Financial compensation(hazard pay) for essential workers during covid-19,,,,,lockdowns
Save Gymnastics Clubs in Ontario!,,,,,
#cancelboardexams,,,,lockdowns,
Ask Gov. DeSantis to Stop the unfair treatment of Vacation Rentals!,vaccination,,,,
Place a moratorium on 1080 poisoned food drops & divert funds to save lives from COVID-19,,,,,
American Airlines Should Waive ALL  Change/Cancellation Fees Amidst COVID-19 Outbreak!,,,"masking and distancing,lockdowns",lockdowns,
To Stop COVID-19: Contact Trace and Test!,,,,,
HELP IRANIANS TO RECEIVE MEDICAL SUPPLIES TO FIGHT COVID-19,,,vaccination,,
Get Covid-19 Vaccines for Doctors,,,vaccination,vaccination,vaccination
Allow F-1 and M-1 students with valid visas to stay in the United States,,,,,
"Northern and southern European countries solidarity, opinions of non-political citizens",,,,,
Cancel 2021 CBSE Board exams due to COVID-19,,,"masking and distancing,lockdowns",lockdowns,lockdowns
Canadian Federal Government: Give More Support to Canadian Airlines and their Employees,,,,,
Universal living wage for all ad-hoc agency workers during the covid-19 crisis,,,,,
Brainware University need to close College due to effect of COVID-19.,lockdowns,,lockdowns,lockdowns,lockdowns
Whittier Council Member Jessica Martinez: Recuse Yourself from Immigrant Relief Lawsuit,,,,,
Allow parents to temporarily home educate without being penalised during Covid-19 outbreak,,,lockdowns,masking and distancing,
There will be a day AFTER COVID-19.  Help us change the way leaders lead.  Everywhere.,,,,,
Close Madison City Schools due to COVID-19,lockdowns,,lockdowns,lockdowns,lockdowns
Mthuli Ncube to remove 2% charge from all electronic money transactions #Covid-19 period,,,,,
Partially Refund Loughborough University Tuition Fees,,,,,
Proper equipments and facilities for Arunachal Pradesh to tackle Covid-19,,,,,
Humber College should reduce tuition fees for classes recently made online due to COVID-19,lockdowns,,"masking and distancing,lockdowns",lockdowns,lockdowns
South Dakota State University pass or fail students -COVID-19,,,,lockdowns,
Tim Walz: Support to-go wine & beer sales for the restaurant industry during COID-19,lockdowns,,,,lockdowns
Demanding permanent employment for contract workers in M'sia Gov! #WeAreFrontliners,,,,,
Rescind the Acceptance of racist Drew Dollar into LSU,,,,,
Postpone All Entrances and ExamsDuring Current Situation of Covid-19.,,,"masking and distancing,lockdowns",lockdowns,lockdowns
We Texans demand that Ted Cruz resign.,,,,,
LET US IN! Adjust The Nursing Home Visitation Policy due to Covid 19,lockdowns,,masking and distancing,,
COVID-19 Landlord Support,,,lockdowns,,
Cancellation of STPM Semester 2 examination 2020,,,,"masking and distancing,lockdowns",lockdowns
Immediate & Unconditional Release of Jawar Mohammed & All Oromo Political Prisoners,,,,,
Close non essential warehouses Covid-19,lockdowns,,"masking and distancing,lockdowns",lockdowns,lockdowns
Revise the Academic Calendar & Suspend the Online Classes throughout COVID-19 crisis,lockdowns,,"masking and distancing,lockdowns",,
ASHA dues should be WAIVED for 2020!,,,,,
Cancellation of Lebanese Official Exams for 2020/إلغاء الإمتحانات الرسمية اللبنانية ل-٢٠٢٠,,,"masking and distancing,lockdowns",lockdowns,
Hazard pay for essential employees working with the public during the covid-19 pandemic.,,,masking and distancing,,
Stop children being weighed in school without parental consent,,,,,
Allow Visitors for Covid-19 Patients,lockdowns,,masking and distancing,,
Exigimos acciones de control y salud en la Reserva Natural de La Parguera,,,,,
